smiles,mw,heavy_atoms,atoms,heteroatoms,rings,GFN2_HOMO_LUMO_GAP,DFT_HOMO_LUMO_GAP,rdkit_smiles,inchi_key,compound_id
[H]OB(O[H])[C@@]([H])(N([H])C(=O)[C@@]1([H])N(C(=O)[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],432.2544005560009,31,64,10,2,0.128555,0.3592260375352209,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)B(O)O,UCQIHCRMWNRFNP-QYZOEREBSA-N,UCQIHCRMWNRFNP-QYZOEREBSA-N
[H]O[C@]([H])(C([H])([H])Oc1c(-c2c([H])c([H])c(F)c([H])c2[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],417.2082758599108,30,60,6,2,0.0159946,0.2373219743609181,CC(C)c1cc(-c2ccc(F)cc2)c(OC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c1,GWJDCGLHTDEKGT-UXHICEINSA-M,GWJDCGLHTDEKGT-UXHICEINSA-M
[H]OB(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])N(C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],335.2016367120007,24,50,8,1,0.1260691,0.3523464541894802,CN(CC(=O)N[C@@H](CCCCN)B(O)O)C(=O)Cc1ccccc1,VPLBUOGKJQGYQO-AWEZNQCLSA-N,VPLBUOGKJQGYQO-AWEZNQCLSA-N
[H]O[C@]([H])(/C([H])=C(\[H])C(=C(c1c([H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1nnnn1C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],475.235079051911,35,66,8,3,0.0702573,0.2947297101487909,Cc1ccc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2nnnn2C)c2ccc(C)cc2C)c(C)c1,UUVPDWUBKWQFOU-AZHXHMFBSA-M,UUVPDWUBKWQFOU-AZHXHMFBSA-M
[H]c1nc([H])c([C@@]2([H])SC([H])([H])c3c(C(=O)c4c([H])n(C(=O)c5c([H])c([H])c([H])c([H])c5S(=O)(=O)[O-])c5c([H])c(-c6c([H])c([H])c(F)c([H])c6[H])c([H])c([H])c45)c([H])c([H])n32)c([H])c1[H],622.0912145719104,44,65,11,7,0.0908695,0.2953958343416448,O=C(c1ccn2c1CS[C@@H]2c1cccnc1)c1cn(C(=O)c2ccccc2S(=O)(=O)[O-])c2cc(-c3ccc(F)cc3)ccc12,WSTGIXIJIWZIHP-MGBGTMOVSA-M,WSTGIXIJIWZIHP-MGBGTMOVSA-M
[H]O[C@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(Cl)c([H])c1C([H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],489.12858156791054,34,58,8,3,0.0653338,0.3038269851582225,Cc1cc(Cl)cc(C(c2ccc(F)cc2)c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)[O-],RGJLCDJTSHNOSR-YADHBBJMSA-M,RGJLCDJTSHNOSR-YADHBBJMSA-M
[H]OC([H])([H])/C([H])=C1\O[C@@]2([H])N(C(=O)C2([H])[H])[C@@]1([H])C(=O)[O-],198.04079593591,14,22,6,2,0.0960491,0.3323729277400465,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,HZZVJAQRINQKSD-PBFISZAISA-M,HZZVJAQRINQKSD-PBFISZAISA-M
[H]c1c([H])c([H])c(-c2c([H])c(C([H])([H])C([H])([H])[H])[n+](C([H])([H])C(=O)Oc3c([H])c([H])c4nc(S(=O)(=O)N([H])[H])sc4c3[H])c(C([H])([H])C([H])([H])[H])c2[H])c([H])c1[H],482.1202746680906,33,57,9,4,0.0589016999999999,0.2562019052902162,CCc1cc(-c2ccccc2)cc(CC)[n+]1CC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,RDSADKNUIYUYDN-UHFFFAOYSA-N,RDSADKNUIYUYDN-UHFFFAOYSA-N
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1[C@@]([H])(c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],389.1769757319107,28,54,6,2,0.0688892,0.2994175456829698,Cc1cc(C)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c([C@H](C)c2ccc(F)cc2)c1,SWECUWNSOHJHCX-ATZDWAIDSA-M,SWECUWNSOHJHCX-ATZDWAIDSA-M
[H]SC([H])([H])[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])S(=O)(=O)[O-],184.01075875991,10,20,6,0,0.139416,0.3960916651332556,N[C@H](CS)CCS(=O)(=O)[O-],GHOHRLXVWJYYKJ-BYPYZUCNSA-M,GHOHRLXVWJYYKJ-BYPYZUCNSA-M
